sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision,wf_minus_max_0_1_margin_norm,wf_minus_max_0_1_target_drop_raw,wf_minus_max_0_1_target_drop_norm,wf_minus_max_0_1_bbox_precision
220,422870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,285733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,119729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,331875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,481187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,581450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,423894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,113246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,354832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,261388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,134460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,309662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,151338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,499105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,187658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,214966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,23991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,413079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,175318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,51339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,434217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,507893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,173434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,580108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,327165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,40779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,240455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,411223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,324158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,331883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,472540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,352949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,104486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,24104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,490415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,370138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,262736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,446651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,454543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,142620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,476873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,160185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,20553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,284589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,539777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,103522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,424879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,38892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,272678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,10615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,305206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,376521,0.0,0.0,0.0,0.0,0.03993441164493561,0.01711009442806244,0.017401352524757385,0.0
273,148042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,353180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,229553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,360730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,405569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,291606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,344881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
