sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision
390,2905,0.0,0.0,0.0,0.0
391,8824,0.0,0.0,0.0,0.0
392,2712,0.0,0.0,0.0,0.0
393,1949,0.0,0.0,0.0,0.0
394,166,0.0,0.0,0.0,0.0
395,4268,0.0,0.0,0.0,0.0
396,6951,0.0,0.0,0.0,0.0
397,5296,0.0,0.0,0.0,0.0
398,4804,0.0,0.0,0.0,0.0
399,6875,0.0,0.0,0.0,0.0
400,9387,0.0,0.0,0.0,0.0
401,1297,0.0,0.0,0.0,0.0
402,5002,0.0,0.0,0.0,0.0
403,4357,0.0,0.0,0.0,0.0
404,6010,0.0,0.0,0.0,0.0
405,8255,0.0,0.0,0.0,0.0
406,7620,0.0,0.0,0.0,0.0
407,5025,0.0,0.0,0.0,0.0
408,7589,0.0,0.0,0.0,0.0
409,9115,0.0,0.0,0.0,0.0
410,7170,0.0,0.0,0.0,0.0
411,2624,0.0,0.0,0.0,0.0
412,178,0.0,0.0,0.0,0.0
413,2065,0.0,0.0,0.0,0.0
414,8907,0.0,0.0,0.0,0.0
415,5035,0.0,0.0,0.0,0.0
416,8215,0.0,0.0,0.0,0.0
417,6094,0.0,0.0,0.0,0.0
418,6469,0.0,0.0,0.0,0.0
419,5816,0.0,0.0,0.0,0.0
420,1974,0.0,0.0,0.0,0.0
421,7333,0.0,0.0,0.0,0.0
422,3584,0.0,0.0,0.0,0.0
423,4492,0.0,0.0,0.0,0.0
424,1353,0.0,0.0,0.0,0.0
425,3289,0.0,0.0,0.0,0.0
426,4887,0.0,0.0,0.0,0.0
427,5505,0.0,0.0,0.0,0.0
428,9657,0.0,0.0,0.0,0.0
429,7032,0.0,0.0,0.0,0.0
430,223,0.0,0.0,0.0,0.0
431,6083,0.0,0.0,0.0,0.0
432,6936,0.0,0.0,0.0,0.0
433,4154,0.0,0.0,0.0,0.0
